company,title,type_of_company,technologies,salary,workplace,location,test_task,date,views,reviews
Deep Knowledge Group,OSINT Analyst,Product,,,Тільки віддалено,"Україна, None None",,"3,квітня",57,3
Develux,Business Analyst,Product,,,Office або Remote,"Польща, None None",,"2,квітня",11,2
JSE Global Solutions,Junior Analyst,Product,,,Тільки віддалено,"Україна, None None",Є тестове завдання,"2,квітня",372,113
Futurra Group,Data / Product Analyst,Product,"MS Power BI, Microsoft Power BI, Tableau, SQL, Python, R",,Гібридна робота,"Релокейт, Україна (Київ)",,"2,квітня",72,11
МАРКЕТИНГ- ПАРТНЕР,Senior Data Analyst,Product,"Data Analisys, Data Analyst, data mining, Product Marketing, Affiliate Marketing, Brand Marketing, Digital Marketing",$3000-3500,Тільки офіс,"Релокейт, Україна None",Є тестове завдання,"2,квітня",240,40
Devnull Group,Project-аналітик (З навчанням),Product,,$550-850,Тільки офіс,"Україна, None (Київ)",,"2,квітня",56,4
WeSoftYou,Middle Business Analyst,Outsource,"business analysis, Business communication skills, Business requirements, Analysis of business requirements",,Office або Remote,"Україна, None (Київ)",,"2,квітня",153,31
Devnull Group,Data-Analyst (Junior),Outsource,,$450-700,Тільки офіс,"Україна, None (Київ)",,"2,квітня",95,12
Materialise,Post Market Surveillance Data Analyst,Product,,,Гібридна робота,"Україна, None (Київ)",,"2,квітня",10,0
Energise,Аналітик даних,Product,"Data Analyst, finance",,Тільки віддалено,"Україна, None None",Є тестове завдання,"2,квітня",139,23
TemaBit Fozzy Group,Middle Data Analyst (E-com),Product,,,Office або Remote,"Україна, None (Київ)",,"3,квітня",1,0
NewGMedia,Business Analyst,Product,"business analysis, Business Development Manager, Business communication skills, Business planning and strategy development, Business Analyst, Gambling, iGaming",,Тільки віддалено,"Україна, None (Київ)",,"3,квітня",5,0
AUTOMAT-IT,FinOps Project Coordinator,Outsource,"AWS, cost optimization, Communication Skills, FinOps, Cloud management",,Гібридна робота,"Україна, None (Львів)",,"2,квітня",66,9
Frozeneon,Junior Business Analyst (GameDev),Product,"iGaming, Business Analysis",,Тільки віддалено,"Україна, None None",,"3,квітня",57,5
